Código Disciplina,Turma,Professor,Link
EMT103,T01,Silmara,https://chat.whatsapp.com/JAoeT6unfDb1QvtXIHXknV
EPR002 ,T06,GLEICILENE SIQUEIRA DE MELLO,https://chat.whatsapp.com/CtImXw6ahqm9aE3DNx2w44
EPR502,T01 T02 T04,Rafael Miranda,https://chat.whatsapp.com/JeNlK6X6YEJE2qoW9f42qG
EPR502,T02,Rafael de Carvalho Miranda,https://chat.whatsapp.com/BSyAskufCndHnh0XEFukK1
EPR901,T01,Pedro Paulo Balestrassi,https://chat.whatsapp.com/D7s3HxGry0w0tTWAPS0vdk
EQI005,T01,Maisa Tonon Bitti Perazzini,https://chat.whatsapp.com/ECgJCexECfc5BNUUoTld55
EQI009,T01,Thiago,https://chat.whatsapp.com/I9WQHaK0bpXJE43f2vI1vP
EQI011,T01,MAXIMILIAN JOACHIM HODAPP,https://chat.whatsapp.com/FyEfUPdLl76Gh6F58czdSd
EQI013,T01,Hugo Perazzini,https://chat.whatsapp.com/HB6Za6LYxsx3Af8xZNZUAB
EQI030P,T01,Thiago,https://chat.whatsapp.com/DhstYLiWjONJoZAsHRPhcq
EQI030T,T01,Thiago ,https://chat.whatsapp.com/JqtYZeYA0spCo1pRlrBTy9
FIS016,T01,Alan Pavan,https://chat.whatsapp.com/Bdn4ND5qq4E0i7TghXk0QD
FIS016,T01, INTRODUÇÃO Á FERRAMENTAS COMPUTACIONAIS APLICADAS Á FÍSICA,https://chat.whatsapp.com/Bdn4ND5qq4E0i7TghXk0QD
FIS203,08,Rodolfo,https://chat.whatsapp.com/DGlrGvqQpxX27SBv8T9j1P
FIS203,T01,Oscar Cavichia,https://chat.whatsapp.com/JxtQx9ydg6j83zKPVM615i
FIS203,T02,WILTON DA SILVA DIAS,https://chat.whatsapp.com/C6KPl4GifiC114XLVHY0bL
FIS213,"22,25,26 e 27",Carla Rubinger,https://chat.whatsapp.com/FVv43gUxYhW8GbbgHAyre9
FIS213,T20,DANILO ROQUE HUANCA,https://chat.whatsapp.com/JR3ROsY6fl0HAahjlPdwmB
FIS213 ,T07 ,Ainda não se sabe ,https://chat.whatsapp.com/IC8FH7SNB961oahTVjLvWs
FIS403,T01,MARCELOS LIMA PERES,https://chat.whatsapp.com/KBwsIdL3py38vYYhnBL6yY
FIS403,T01,Marcelos Lima Peres,https://chat.whatsapp.com/H28oUWI3y05ENuksvl1K3c
FIS403,T02,Eduardo Oliveira Resek,https://chat.whatsapp.com/KT5zdbYHlTeCiwsYVsV1s6
FIS403,T02 ,Eduardo Oliveira Resek,https://chat.whatsapp.com/K2jAzxhVlJE77KrC8ov6T7
FIS403,T03,Eduardo Resek,https://chat.whatsapp.com/F0orXvstKUPHLnVV4v0Tcy
FIS403,T05,PAULO WAKI,https://chat.whatsapp.com/DX0l93GrMJxD2lM8QmQ9az
FIS403,T06,Waki,https://chat.whatsapp.com/Gwp15SVLdqG216ramFKf1d
FIS403,T07,Paulo Waki ,https://chat.whatsapp.com/JpnwYHhJ3P0GTlLmsIv1qe
FIS403,T4,EDUARDO OLIVEIRA RESEK,https://chat.whatsapp.com/F0orXvstKUPHLnVV4v0Tcy
FIS413,T10,,https://chat.whatsapp.com/E8ayoYWBo9IL3Qy69GW66w
FIS502,T01,DANILO HENRIQUE SPADOTI,https://chat.whatsapp.com/BGIb5lVGSPd4MFB96xm5PI
FIS503,T01,Écio,https://chat.whatsapp.com/GTPVvsQ44Ap4JB9OdvvPmq
FIS503,T02,Demetrio,https://chat.whatsapp.com/EpuLP981TCU95bAw3TYWEF
FIS513,T03,Ecio José Franca,https://chat.whatsapp.com/JMpKf8oUbfm0d9gW73SNAd
GEO403.1,T01,Eliane,https://chat.whatsapp.com/LOiorAb1vAOJoHvgO2cejr
IEPG03 ,T01,ANTONIO FERNANDO BRANCO COSTA,https://chat.whatsapp.com/LanJfbpPB6g7i6Pxx7vHCP
MAT001,T02,Edilson Expedito,https://chat.whatsapp.com/FlArr34N5hyLMsHvBtIvg9
MAT002,T02,Claudemir,https://chat.whatsapp.com/CdlV1xvLrPt35UGFhJPbFy
MAT002,T02,Claudemir,https://meet.google.com/tcv-hvds-ttm
MAT002,T03,Alexander,https://chat.whatsapp.com/EeXoRjmwHgBAqu4DjFki6m
MAT002,T03,Alexander,https://chat.whatsapp.com/J5eagxTDNb6HT7gjsdPRCO
MAT002,T07,Antônio,https://chat.whatsapp.com/J2BZwCR3WqN8vbqRbXT5aw
